Departamento,Municipio,Año,IRCA,Nivel de riesgo,IRCAurbano,Nivel de riesgo urbano,IRCArural,Nivel de riesgo rural
Sucre,Galeras,2017-01-01,53.0,Riesgo alto,48.5,Riesgo alto,,ND
Sucre,Galeras,2018-01-01,12.0,Riesgo bajo,12.0,Riesgo bajo,,ND
Sucre,Galeras,2019-01-01,18.8,Riesgo medio,,ND,,ND
Sucre,Galeras,2020-01-01,50.0,Riesgo alto,50.0,Riesgo alto,,ND
Sucre,Galeras,2021-01-01,13.1,Riesgo bajo,13.1,Riesgo bajo,,ND
Sucre,Galeras,2022-01-01,8.1,Riesgo bajo,8.1,Riesgo bajo,,ND
Sucre,Galeras,2023-01-01,4.6,Sin riesgo,4.6,Sin riesgo,,ND
Sucre,Guaranda,2007-01-01,54.8,Riesgo alto,54.8,Riesgo alto,,ND
Sucre,Guaranda,2008-01-01,36.8,Riesgo alto,36.8,Riesgo alto,,ND
Sucre,Guaranda,2009-01-01,41.0,Riesgo alto,41.0,Riesgo alto,,ND
Sucre,Guaranda,2010-01-01,39.2,Riesgo alto,39.2,Riesgo alto,,ND
Tolima,Rioblanco,2010-01-01,2.6,Sin riesgo,,ND,,ND
Tolima,Rioblanco,2011-01-01,7.4,Riesgo bajo,,ND,,ND
Tolima,Rioblanco,2012-01-01,14.9,Riesgo medio,,ND,,ND
Tolima,Rioblanco,2013-01-01,11.6,Riesgo bajo,,ND,,ND
Tolima,Rioblanco,2014-01-01,14.3,Riesgo medio,,ND,,ND
Tolima,Rioblanco,2015-01-01,16.5,Riesgo medio,,ND,,ND
Tolima,Rioblanco,2016-01-01,13.3,Riesgo bajo,,ND,,ND
Tolima,Rioblanco,2017-01-01,16.4,Riesgo medio,,ND,,ND
Tolima,Rioblanco,2018-01-01,4.7,Sin riesgo,4.7,Sin riesgo,,ND
Tolima,Rioblanco,2019-01-01,6.1,Riesgo bajo,6.1,Riesgo bajo,,ND
Tolima,Rioblanco,2020-01-01,0.0,Sin riesgo,0.0,Sin riesgo,,ND
Tolima,Rioblanco,2021-01-01,9.9,Riesgo bajo,9.9,Riesgo bajo,,ND
Tolima,Rioblanco,2022-01-01,2.1,Sin riesgo,2.1,Sin riesgo,,ND
Tolima,Rioblanco,2023-01-01,1.2,Sin riesgo,1.2,Sin riesgo,,ND
Tolima,Roncesvalles,2007-01-01,30.1,Riesgo medio,,ND,,ND
Tolima,Roncesvalles,2008-01-01,70.3,Riesgo alto,,ND,,ND
Tolima,Roncesvalles,2009-01-01,66.1,Riesgo alto,,ND,,ND
Tolima,Roncesvalles,2010-01-01,69.3,Riesgo alto,,ND,,ND
Antioquia,Medellín,2007-01-01,2.3,Sin riesgo,0.2,Sin riesgo,3.9,Sin riesgo
Antioquia,Medellín,2008-01-01,1.8,Sin riesgo,0.1,Sin riesgo,4.0,Sin riesgo
Antioquia,Medellín,2009-01-01,1.3,Sin riesgo,0.4,Sin riesgo,2.7,Sin riesgo
Antioquia,Medellín,2010-01-01,1.4,Sin riesgo,0.5,Sin riesgo,2.6,Sin riesgo
Antioquia,Medellín,2011-01-01,1.9,Sin riesgo,0.5,Sin riesgo,3.6,Sin riesgo
Antioquia,Medellín,2012-01-01,0.4,Sin riesgo,0.0,Sin riesgo,0.8,Sin riesgo
Antioquia,Medellín,2013-01-01,0.0,Sin riesgo,,ND,0.0,Sin riesgo
Antioquia,Medellín,2014-01-01,1.8,Sin riesgo,1.0,Sin riesgo,2.9,Sin riesgo
Antioquia,Medellín,2015-01-01,1.4,Sin riesgo,0.5,Sin riesgo,3.0,Sin riesgo
Antioquia,Medellín,2016-01-01,2.4,Sin riesgo,0.7,Sin riesgo,4.5,Sin riesgo
Antioquia,Medellín,2017-01-01,0.9,Sin riesgo,0.4,Sin riesgo,1.8,Sin riesgo
Antioquia,Medellín,2018-01-01,0.7,Sin riesgo,0.5,Sin riesgo,0.9,Sin riesgo
Antioquia,Medellín,2019-01-01,2.1,Sin riesgo,1.7,Sin riesgo,2.7,Sin riesgo
Antioquia,Medellín,2020-01-01,2.2,Sin riesgo,1.3,Sin riesgo,3.3,Sin riesgo
Antioquia,Medellín,2021-01-01,2.5,Sin riesgo,1.3,Sin riesgo,4.2,Sin riesgo
